File name,Radar name,Frequency,PRT,PRF,Pulsewidth,Receiving time,Dead time,Peak Power,Average Power,Instrumented Range,Range Resolution,Accuracy,Beamwidth,Hits per scan,Antenna Rotation,MTBCF,MTTR
karte054.en.html,ASDE-X,X-Band[2],,4 kHz,1 and 100 µs,,,60 W,,,,,0.4°,,60 min⁻¹,,
karte055.en.html,SR-3,"9.0 … 9.2 GHz
	(X-Band)",,16 384 Hz,,,,75 W,,,,,0.35°,,60 min⁻¹,,
karte056.en.html,Merlin,S & X-Band,,,,,,,,2 … 4 NM(≙ 3.4 … 7.5 km),,,,,,,
karte057.en.html,Indra SMR,"9.0 … 9.5 GHz
	(X-Band)",,,,,,,5 W,6 km,,,< 0.4º,,60 min⁻¹,,
karte058.en.html,ASR-22AL,"1 250 … 1 350 MHz
	(L-Band)",,,1.5 µs; 19.5 µs;42 … 132 µs,,,,,100 km,250 m,100 m; 0.4°,5°,,,,
karte059.en.html,RSP-6M,,UHF-Band,2 000 µs,500 Hz,1.2 µs,,,180 kW,,135 km,400 m,200 m; 1°,2.5°,,10 min⁻¹,,
karte060.en.html,Mars-L,"1 250 … 1 350 MHz
	(L-Band)",,,"1,5 and (19.5 or 63) µs",,,1.8 kW,,80 NM (≙ 150 km),230 m,150 m; 0.4°,,,6 min⁻¹,5 000 h,30 min
karte061.en.html,Utes-A and Utes-T,,"1 240 … 1 350 MHz 
	(L-Band)",,,80 µs; 1.6 µs,,,,,160 km,250 m,150 m; 0.15°,1.5°,,12 min⁻¹,10 000 h,0.5 h
karte062.en.html,Scanter 5202,X-Band,,,,,,,,18 km,,,,,,,
karte063.en.html,Theia,,1.25 GHz (L-Band),,,,,,,,5 NM(≙ 9 km),,,,,,,
karte064.en.html,RSP-27,,L-Band,,,,,,,,110 km,,,,,10 min⁻¹,,
karte065.en.html,ARLK “Ural”,"2 700 … 2 900 MHz
	(S-Band)",,,1 and 75 µs,,,7 or 14 kW,,100 km,,,1.3°,,,,
karte066.en.html,MGR,S-Band,,830 Hz (average),,,,15 kW,,60 NM (≙ 110 km),< 200 m,,2°,,12 min⁻¹,,
karte067.en.html,Atlantika SMR,"33,5 … 34,1 GHz
	 (K-Band)",,,55 or 125 ns,,,6 kW,,,10 m,,0.25°,,60 min⁻¹,,
karte068.en.html,PSR 2D,"2.7 … 2.9 GHz
	(S-Band)",,700 … 1 300 Hz(830 Hz average),1.2 and (60 … 98) µs,,,18 … 22 kW,,"60 NM (≙ 111 km)
	 80 NM (≙ 148 km)
	100 NM (≙ 185 km)",200 m,,1.35º,,10/12/15 min⁻¹,45 000 h,20 min
karte069.en.html,AMI 2700,"2.7 … 2.9 GHz
	(S-Band)",,,,,,,,86 NM (≙ 160 km),225 m,60 m; 0.1°,1.39°,,… 15 min⁻¹,100.000 hrs,30 min
karte070.en.html,Robin Radar Max®,"9 650 MHz
	(X-Band)",,,,,,,20 W,15 km,,,,,60 min⁻¹,,
karte071.en.html,Robin Radar 3D Flex,S-Band,,,,,,60 kW,,10 km,,,,,46  min⁻¹,,
karte072.en.html,Robin Radar Iris®,X-Band,,,,,,,2 × 12 W,5 km,,,,,30 min⁻¹,,
karte073.en.html,ASR-1000L,"1 215 … 1 365 MHz  
	(L-Band)",,,200 µs,,,6 or 12 kW,,60 or 80 NM(≙ 110 or 148 km),<100 m,,,,15 or 12 min⁻¹,,
karte074.en.html,D-RAPCON,"2.7 … 2.9 GHz
	(S-Band)",,,5 µs and 120 µs,,,11 kW,,60 NM (≙ 110 km),,,,,12.5 rpm,> 1 300 h,
karte075.en.html,ATCR-33S-NG,"2 700 … 2 900 MHz
	(S-Band)",,,"1 or 10 µs
10/100/150 µs",,,10 … 17 kW,,60/80/100 NM(≙ 110/150/185 km),,,,,15/12/10 rpm,40 000 h,20 min
karte076.en.html,AORL-85,,1 216 … 1 278 MHz,,,24 µs,,,35 kW,450 W,60 NM (≙ 110 km),250 m,250 m,2.1°,,9 … 11 rpm,1 000 h,60 min
karte077.en.html,EASAT PSR,"2 700 … 2 900 MHz
	(S-Band)",,,1 µs and 40 … 300 µs,,,16 or 28 kW,,60 … 120 NM(≙ 110 … 220 km),230 m,50 m ; 0.1°,< 2°,,6 … 15 rpm,,
karte001.en.html,HARD 3D,"8 800 … 9 300 MHz
	(X-Band)",,,,,,65 W,8 W,20 km,"50 m; 0,5°",,,,40 rpm,,
karte002.en.html,ARTHUR,5.4 - 5.9 GHz,,,,,,,,25 NM,,,,,,,
karte003.en.html,COBRA,C-Band,,,,,,,,,,,"β=1,8° ε=1,4°",,,,
karte004.en.html,Surveillance radar “Giraffe AMB”,5.4 … 5.9 GHz,,,,,,,,100 km,,,,,,,
karte005.en.html,RAC 3D “Flamingo”,G/H-Band,,,,,,,,100 km,15 m,,,,2 or 3 seconds,,
karte006.en.html,TRM-S,G-Band,,,,,,,,110 NM,,,,,2.25 s to 4.44 s,,
karte007.en.html,TRML-2D,G-Band,,,,,,,,32 NM,,,,,,,
karte008.en.html,TRML-3D,G-Band,,,,,,,,130 NM,,,,,,,
karte009.en.html,AN/TPQ-36 Firefinder weapon locating radar,X-Band,,,,,,23 kW,,24 km,,,,,
karte010.en.html,AN/TPQ-37 Firefinder weapon locating radar,S-Band,,,,,,120 kW,,50 km,,,,,
karte011.en.html,AN/MPQ-64 “Sentinel”,X-Band,,,,,,,,40 km (upgraded:75 km),,,,,"15 rpm ,virtual: 30 rpm (with electronic back-scan)",,
karte012.en.html,Blindfire tracking radar,F-Band,,,,,,,,max. 32 km (height: max. 5 km),,,,,,,
karte013.en.html,AN/TPQ-37 Firefinder weapon locating radar,S-Band,,,,,,,,60 km,,,,,
karte014.en.html,76N6 Low Altitude Acquisition Radar,I-Band,none (FMCW-radar),1.4 kW,120 km,4 km,1°,,
karte015.en.html,X-Band,,,,,,,,100 km,,-10° to +55°,,,,,
karte016.en.html,L-Band,,,,,,,,"7,000 m",,,,,,,
karte017.en.html,S-Band,,,,,,,,,,,,,,,
karte018.en.html,Aslesha,X-Band,,,,,,,,50 km,,,,,,,
karte019.en.html,ELM-2140NG - AGSR,X-Band,,,,,,25 W,,60 km,,,0.4° ; 50 m,,,,
karte020.en.html,Serhat,L-Band,,,,,,,,6 km,,,,,,,,
karte021.en.html,Giraffe 4A,S-Band,,,,,,,,"280 km (air targets)
	100 km (mortar radar)",,,,,30 or 60 rpm,,,
karte022.en.html,Giraffe 1X,X-Band,,,,,,,,75 km,,,,,60 rpm,,
karte023.en.html,PSTAR,"1.22 … 1.46 GHz
	(L-Band)",,,,,,1 kW,50 W,20 km,,,±200 m; 2°,,10 or 20 rpm,,1 000 hrs,15 min
karte024.en.html,CLC-3,(S-Band ?),,,,,,,,> 80 km,,,,,,,
karte025.en.html,SLC-2,S-Band,,,,,,45 kW,,50 km,,0.35% or 35 m,,,,,
karte026.en.html,YLC-15,S-Band,,,,,,,,20 km,,,,,,500 hrs,0.5 hr
karte027.en.html,Bharani,L-Band,,,,,,400 W,,50 km,120 m,30 m; 0.5°,6°,,,1000 hrs,< 30 min
karte028.en.html,1L277,J-Band,,,,,,,,20 km,10 m,10 m; 0.18°,"4,5°",,,,
karte029.en.html,TRS 2620 « Gerfaut »,S-Band,,,,,,,,14 km,175 m,25 m; 0.4°,1°,,40 rpm,1 850 hrs,
karte030.en.html,PAGE,Ku-Band,,,,,,,20 W,20 km,100 m,,,,10 … 20 rpm,,
karte031.en.html,TPS-830KE,X-Band,,2 500 Hz(average),0.2 - 7 μs,,,8 kW,140 W,40 km,,,1.5º,,30 rpm,,
karte032.en.html,Askarad,X-Band,,,,,,5 kW,,38 km,,±10 m; 0.12°,,,,,
karte033.en.html,Ground Master 60,C-Band,,,,,,,,80 km,,,,,,,
karte034.en.html,BFSR-SR,J-Band,,,,,,,5 W,10 km,,,,,,,
karte035.en.html,Arabel,X-Band,,,,,,150 kW,,100 km,,,2°,,60 min⁻¹,,
karte036.en.html,1L271,J-Band,,,,,,,,20 km,,,,,,,
karte037.en.html,ELM-2106 NG,L-Band,,,,,,400 W,,80 km,,30 m; 0.5°,,,,,
karte038.en.html,Swathi,C-Band,,,,,,40 kW,,,,,,,,,
karte039.en.html,JMPQ-P13,X-Band,,,,,,,,15 km,,,,,,,
karte040.en.html,JMPQ-P7,X-Band,,3 600 Hz,2 µs,,,250 kW,,30 km,,100 m; 0.17°,,,,,
karte041.en.html,JTPS-P16,S-Band,,,,,,,,40 km,,,,,,,
karte042.en.html,Saber M60,L-Band,,,,,,,,60 km,,50 m; 2°,,,15 min⁻¹,,
karte043.en.html,Biskvit-KB,L-Band,,,,,,,,20 km,,,,,,,
karte044.en.html,YLC-48,L-Band,,,,,,,,20 km,,,,,,,
karte045.en.html,MVRS-700,"10.4 … 10.6 GHz
	(X-Band)",,,,,,300 mW,,25 km,,,β= 10° ;ε= 20°,,,> 10 000 hrs,
karte046.en.html,1L122,L-Band,,,,,,,,40 km,,100 m,,,15 or 30 rpm,,
karte047.en.html,BR 2140,X-Band,,,,,,25 W,,40 km,,,,,,,
karte048.en.html,Reporter,X-Band,,,,,,,,40 km,,,,,,,
karte049.en.html,JY-17,X-Band,,,,,,,,,,,,,,,
karte050.en.html,Arine,Ku-Band,,5 or 5.5 kHz,0.12; 0.33; 10 or 20 µs,,,< 7 W,,24 km,50 m,,2.1º,,,1 000 hrs,
karte051.en.html,AN/TPQ-47,S-Band,,,,,,,,300 km,,,β= 0.9° ;ε= 0.6°,,,,
karte052.en.html,AN/TPQ-50,"1 250 … 1 350 MHz
	(L-Band)",,,,,,,,15 km,,50 m,,,,,
karte053.en.html,AMMR,S-Band,,,,,,,,20 km,,,,,,,
karte054.en.html,STR,S-Band,,,,,,,,100 km,,,,,,,
karte055.en.html,MAR,X-Band,,,,,,,,70 km,,,,,10 … 60 min⁻¹,,
karte056.en.html,1L220-U,F-Band,,,,,,40 kW,,80 km,,,,,,,
karte057.en.html,1RL144,Hot Shot,S-Band,,,,,,10 kW,,20 km,,20 m; 1°,,,,,
karte058.en.html,BYSTRA,C-Band,,,,,,,,80 km,,,,,30 rpm,,
karte059.en.html,X-TAR3D,X-Band,,,,,,,,30 or 50 km,,,,,40 rpm,,
karte060.en.html,ELM-2026BF,X-Band,,,,,,,,40 km,,,,,,,
karte061.en.html,ELM-2311 C-MMR,C-Band,,,,,,,,250 km,,,,,,,
karte001.en.html,SharpEye™ SxV,9.2 … 9.5 GHz (X-Band),,,,,,up to 80 W,,44 km,45 m,,"β: < 4°, ε: 25°",,,,
karte002.en.html,Blighter Radar,"15.7 … 17.2 GHz
	(Ku-Band)",FMCW-radar,1 or 4 W,"2, 5, 8, 16 or 32 km",,,"5°, 10° or 20°",90 degrees,,
karte003.en.html,BOXER ground surveillance radar,9.0 … 9.5 GHz,,,,,,50 W,,"3, 6, 12, 24, 48 km",40 m,,2 degrees,,3 s,,
karte004.en.html,BOR-A 550,I-Band,,,,,,,,40 or 80 km,40 m,,2.7 Degrees,,,2 000 h,
karte005.en.html,SPEXER™ 2000,X-Band,,,,,,,,40 km,,,,1 … 3 (monopulse),,,
karte006.en.html,ART Midrange High-Resolution Ground Surveillance Radar,Ku-Band,(FMCW Radar),,5000 m,0.2 to 1 m,,,60 rpm,,
karte007.en.html,RPS-42,S-Band,,,,,,,350 W,50 km,,,,,,,
karte008.en.html,Squire,X-Band,,,,,,,1 W max.,48 km,5 m,≤ 5 m ; ≤ 5 mils,,,,,
karte009.en.html,MSTAR (V6),"Ku-Band
(6 selectable frequencies)",,,,,,5 W,,100 m to 27 km,,,,,,,
karte010.en.html,Ranger R20SS,X-Band,,,,,,,,20 – 30 000 m,,,,,,,
karte011.en.html,ARGOS 30VS,X-Band,,,,,,,,,,,,,,,
karte012.en.html,Scanter 1002,Ku-Band,,,,,,8 W,,12 km,,< 5 m; < 2°,,,12 to 60 rpm,,
karte013.en.html,ACAR,Ku-Band,,,,,,,,40 km,,,,,,,
karte014.en.html,R6SS,X-Band,,,,,,,,15 km,,± 2 m; < 0.2 degrees,,,,,
karte015.en.html,Lyra 10,X-Band,,,,,,,1 W,24 km,9 m,,3°,,,,
karte016.en.html,Retinar PTR®,Ka-Band,,,,,,1.5 W,,12 km,3 m,0.2°,2°,,,,
karte017.en.html,RSR 904,,,,,,,,,20 km,,,,,,,
karte018.en.html,Ground Observer 80,X-Band,,,,,,,,80 km,,,1.4°,,,,
karte019.en.html,ARS,"77 GHz
	(M-Band)",,,,,,,,1 600 m,25 cm,,1°,,36 min⁻¹,,
karte020.en.html,Spexer 500 and Spexer 1000,,X-Band,,,,,,,4 W,4.8 NM(≙ 9 km),,,,,,,
karte021.en.html,Ranger R5,Ka-Band,,,,,,,,5 km,0.7 m,,1°,,60 min⁻¹,,
karte022.en.html,Fortem Trueview™ R20,K (?)-Band,,,,,,,,,,,,,,,
karte023.en.html,SR Hawk™,"16.21 … 16.50 GHz
	(Ku-Band)",,,,,,,,48 km,,10 m ; 0.2°,θβ= 1.9° ;θε= 3.8°,,,,
karte024.en.html,Gamekeeper 16U,"1.25 GHz
	(L-Band)",,,,,,2 kW,,5 km,,,,,,,
karte025.en.html,ELM-2105,X-Band,,,,,,10 W,1 W,up to 10 km,4 or 8 m,0.5 m,10°,,4 or 5 min⁻¹,> 10 000 hrs,
karte026.en.html,Foxtrack,X-Band,"20, 200, 2000 mW",24 km,,±3 m; ≤ 0.3°,,8 or 16 min⁻¹,>10 000 hrs,
karte027.en.html,ONESAR,Ku-Band,,,,,,,,,,,,,,,
karte028.en.html,ELM-2127,"10.4 GHz ±0.1 GHz
	(X-Band)",,,,,,700 mW,70 mW,3 000 m,4 m,1 m; 1.5°,15°,,,,
karte029.en.html,RS24,"24.05 … 24.25 GHz
	(K-Band)",,,,,,,1 mW (100 mW EIRP),1 500 m,0.75 m,,1.4°,,60 min⁻¹,,
karte030.en.html,1L111M “Fara-VR”,J-Band,,,,,,,,10.2 km,,,,,,5000 hrs,
karte031.en.html,AN/PPS-6,"9.0 … 9.5 GHz
	(X-Band)",,1 800 … 2 200 Hz,0.26 µs (±0.04 µs),,,100 W,,3 000 m,,,7°,,,,
karte032.en.html,JPPS-P24,X-Band,,,,,,,,,,,,,,,
karte033.en.html,Rosa,X-Band,,,,,,,400 mW,15 km,15 m,,4.5°,,,,
karte034.en.html,LIS-2M,"36 GHz
	(Ka-Band)",,,,,,,1 W,,,"25 m, 1°",,,,,
karte035.en.html,LIS-3M,Ka-Band,,,,,,15 W,10 W,12 km,,25 m; 1°,,,,,
karte036.en.html,X-Band,,,,,,,,45 km,,,,,15 rpm,,
karte037.en.html,A800 3D,"15.7 … 17.2 GHz
	(Ku-Band)",,,,,,,4 W,20 km,,,,,,65 000 hrs,
karte038.en.html,Scan-360,"24 050 … 24 250 MHz
	(K-Band)",,None (FMCW radar),,,,,100 mW (EIRP),200 m,,,,,60 rpm,,
karte039.en.html,Scan-Sector,"24.00 … 24.25 GHz
	(K-Band)",,,,,,,,200 m,,,,,,,
karte040.en.html,Spexer® 360 Enhanced,"9.22 … 9.38 GHz
	(X-Band)",,,,,,80 W,,12 km,28 m,5 m; 0.8°,≤ 4.1°,,,50 000 hrs,
karte001.en.html,Green Pine,"500 … 1000 MHz
	(UHF-Band)",,,,,,,,,,,,,,,
karte003.en.html,Patriot Radar AN/MPQ-53,G/H-Band,,,"0.4, 1.3, 2.0, 2.7 or 50 µs",,,10 kW,,170 km,,,,,
karte004.en.html,Dagger target acquisition and surveillance radar,J-Band,,,,,,,,"32 km range, 5 km height",,,,,30 or 60 rpm,,
karte005.en.html,30N6E “Flap Lid”,I/J-Band,,,,,,,,300 km,,,,,,,
karte006.en.html,92N6E “Grave Stone”,I/J-Band,,,,,,,,,,,,,,,
karte007.en.html,AN/MPQ-65,C-Band,,,,,,,,100 km,,,,,,,
karte008.en.html,TRS 3207 Crotale,,S-Band,,,,,,,,18.5 km,,,,,60 min⁻¹,,
karte009.en.html,5N62V,C-Band,,,,,,,3 kW,180 … 300 km,,,0.7° or 1.4°,,,5 000 hrs,
karte010.en.html,1S32 “Pat Hand”,C-Band,,,,,,750 kW,,130 km,,,1°,,,,
karte011.en.html,1S91 “Straight Flush”,,C-Band,,,,,,600 kW,,75 km,,,1°,,15 or 20 min-1,,
karte012.en.html,Flycatcher,,9 200 MHzI-Band,,4 800 Hz,0.2 µs,,,160 kW,,20 km,30 m,,1.1°,,40 min⁻¹,,
karte013.en.html,91N6,"2.9 … 3.3 GHz
	(S-Band)",,,,,,,,600 km,,"200 m, 0.5°",,,5 or 10 min⁻¹,,
karte014.en.html,64N6E,"2.9 … 3.3 GHz
	(S-Band)",,,,,,,,,,200 m; 0.5°,,,6 or 12 min⁻¹,,
karte015.en.html,9S32,X-Band),,,,,,150 kW,,250 km,,,0.5°,,,,
karte016.en.html,9S19M,X-Band,,,,,,,16 kW,95 NM (≙ 176 km),,,0.5°,,,,
karte017.en.html,Rajendra,C-Band,,,,,,70 kW,,80 km,,,,,,,
karte018.en.html,Eagle,Ka-Band,,,,,,20 W,,20 km,,"0,01°",,,,,
karte001.en.html,AN/SPQ-9B,X-Band,,,,,,1.2 kW,,10 NM,,,1°,,2 s,,
karte002.en.html,AN/SPS-49 Radar,,850 to 942 MHz,,"280, 800 or 1000 Hz",120 µs ; 2µs,,,280 kW,12 kW,250 NM,0.16 NM,0.03 NM; 0.5°,3.3°,,6 or 12 rpm.,,
karte003.en.html,AN/SPY-1,E/F-Band,,,,,,4 to 6 MW,58 kW,,,,1.7 degrees,,none (fixed antenna),,
karte004.en.html,Type 1007 Naval/coastal surveillance and navigation radar,9 410 MHz,,,,,,25 kW,,300 km,,,0.75°,,,,
karte005.en.html,LW 08 “Jupiter”,D-Band,,500 or 1000 Hz,,,,150 kW,5 kW,140 NM (≙ 270 km),0.5 NM,,2.2°,15 to 20,7.5 or 15 rpm.,,
karte006.en.html,SMART-L Radar,D-Band,,,,,,,,250 NM (≙ 460 km),,,2.2 degrees,,12 rpm.,,
karte007.en.html,SMART-S,F-Band,,,,,,145 kW,,55 NM (≙ 100 km),0.5 NM,,2 degrees,,2.22 seconds (27 rpm.),,
karte008.en.html,TRS-3D,G-Band,,,,,,,,200 km,,"< 20 m; β: < 0,24°; ε: < 1,3°",,,"10, 17, 20 or 60 rpm",> 3 000 h,"< 0,5 h"
karte009.en.html,Variant,I- and G-Band,,3 - 9 kilohertzes,"4.5, 12.8 and 16 microseconds",,,200 watts,,40 or 50 NM,,,"1,2° …	1,8 degrees",,14 and 28 rpm.,,
karte010.en.html,AN/SPS-48E,,2 900 … 3 100 MHz,,330 - 2250 pps,9 or 27 µs,,,"2,2 MW",35 kW,400 km,475 m,,1.5° * 1.6°,15 rpm,,
karte011.en.html,Active Phased Array Radar APAR,I-Band,,,,,,,,150 km,,,,(monopulse),,
karte012.en.html,JRC Radar 3000,9 445 MHz ±30 MHz,,2250 Hz / 1500 Hz / 750 Hz,0.08 µs / 0.35 µs / 0.7 µs,,,4 kW,,0.75 NM / 6 NM / 24 NM,,,"β=6°, ε=25°",,24 … 27 rpm,,
karte013.en.html,SharpEye™ Naval Radar Transceiver,"I- and 
	E/F-Band",,350 … 3000 Hz,50 … 400 ns,,,200 W,20 … 25 W,,,,1.8 degrees,,"12, 24 or 46 rpm",,
karte014.en.html,Broadband Radar BR24,"9.3 … 9.4 GHz
	(X-Band)",1 ms ±10%,200 Hz,65 MHz,100 mW,50 m to 45 km,< 1 m,5.2° ±10%,30° ±20%,≤ -18 dB,24/36/48 rpm ±10%,,
karte015.en.html,INDERA MX-2 & MX-3 Radars,X-Band,0.5 ms,2 kHz,60 MHz,0.1 … 5 W,20 NM (≙ 37 km),0.9 … 72 m,1.6°,20°,< 20 dB,20 rpm max.,,
karte016.en.html,AN/SPS-40 Surface Search Radar,"402.5 … 447.5 MHz
	(UHF-Band)",,ø 257 Hz (staggered)300 Hz (non-staggered),"60 µs (long-range mode) 3 µs (short range mode)
	compressed to 1 µs (or 0.6 µs)",,,200 - 255 kW,2 kW,370 km,90 m,,"β=10.5°, ε=19°",,"7.5 or 15 rpm
	(6 rpm in SPS-40 and -40A)",,
karte017.en.html,Type 1022,1 215 … 1 400 MHz,,,,,,150 kW,5 kW,225 NM (≙ 416 km),,,2.3°,,6 … 8 rpm,,
karte018.en.html,AN/SPS-55,9.05 − 10 GHz(X-Band),,750 pps,1 μsec,,,130 kW,,190 km,200 m,43 m,1.5 degrees,,16 rpm,,
karte019.en.html,Kronos 3D,C-Band,,,,,,,,250 km,,,,,60 rpm,> 2000 h,< 0.75 h
karte020.en.html,Artisan 3D,E/F-Band,,,,,,,,> 200 km,< 200 m,,,< 2.5 degrees,,30 rpm,> 4 500 h,< 0.5 h
karte021.en.html,Type 996 Radar,E/F-Band,,,,,,,,,,,,,30 rpm,,
karte022.en.html,LPI 2000,X-Band,,350 to 2500 Hz,0.05 to 93 μs,,,50 W or 100 W,"9,5 W (pulsed),down to 0,25 W (FMCW)",,15 … 30 m,,"1.2°, 
	1.05°,
	0.85°, or
	0.65°",,"22 rpm. (IMO mode),11 rpm (SEARCH mode)",,
karte023.en.html,ALPER Naval LPI Radar,X-Band,,,,,,,"1 W, 0.1 W, 10 mW, 1 mW
	(selectable)",36 NM,,,,,>20 rpm,10 000 hrs,
karte024.en.html,RM-100,X-Band,,,,,,,,0.25 to 48 NM,,"range: 1%,bearing: 1°",,,12-30 rpm,,
karte025.en.html,Coast Watcher 100,X-Band,,,,,,up to 1.2 kW,,up to 100 NM (≙ 185 km),4 m,,0.6°,,6-10 rpm,1 year,
karte026.en.html,Scout,J-Band,,,,,,from 3 mW up to 5 W,24 NM (≙ 45 km),6 m,3 m,1.4°,,"10, 20 or 40 rpm",,
karte027.en.html,TRS-4D,G-Band,,,,,,,,250 km,,"15 m; β: 0,2°; ε: 0,5°",,,15 or 30 min⁻¹,,
karte028.en.html,AN/SPS-73(V)12,X-Band,,,,,,,,,,,,,,,
karte029.en.html,AN/SPS-64,"9 375 ± 25 MHz
	(X-Band)",,"900, 1800, 3600 Hz","0.06, 0.5, 1 µs",,,"10, 25 and 50 kW",,64 NM (≙ 118 km),,,"0.7°, 0.9°, 1.25°, 1.9°
	(depending on antenna size)",,33 rpm,,
karte030.en.html,RSR 210 N,X-Band,,,,,,,,27 NM (≙ 50 km),,,,,,,
karte031.en.html,SPS-95K,"5.45 … 5.825 GHz
	(C-Band)",,2 400 Hz or 1 200 Hz or 750 Hz,0.12 µs or 0.25 µs or 1 µs,,,250 kW,,200 km,,,1.5º,,,600 h,0.75 h
karte032.en.html,SPN-730 and BPN-730,X-band,,,,,,,,,1.5 m,,,,,,
karte033.en.html,RAN-30X,X-Band,,,,,,,,,25 … 200 km,,1.2°,,"3, 15 or 30 rpm",,
karte034.en.html,RAN-40L,L-Band,,,,,,,,400 km,,< 50 m; < 0.4°,,,6 or 12 rpm,≥ 1500 h,≤ 30 min
karte035.en.html,SPN-732,X-Band,,,,,,,,16 NM (≙ 30 km),,,,,,,
karte036.en.html,AN/SPS-67,5 450 … 5 825 MHz,,"750, 1200 or 2400 Hz","1 µs, 0.25 µs or 0.1 µs",,,280 kW,,56 NM (≙ 104 km),,,1.6°,,2 or 4 rpm,> 600 hrs,
karte037.en.html,AN/SPS-52,"2 910 … 3 100 MHz
	(E/F-Band)",,329 Hz,1 µs,,,330 kW,,240 NM (≙ 445 km),150 m,,1.1°,,5 rpm,,
karte038.en.html,Sea Giraffe AMB,5.4 … 5.9 GHz,,,,,,25 kW,,180 km,,,,,30 or 60 rpm,,
karte039.en.html,Lyra 50,X-Band,,,"0.1 µs, 2.5 μs, 30 … 60 µs",,,,5 W,48 km,9 m,,0.45°,,11 or 22 rpm,,
karte040.en.html,AN/SPY-3,X-Band,,,,,,,,,,,,,,,
karte041.en.html,AN/SPN-43,"3 500 … 3 700 MHz
	(S-Band)",1000 µs,,0.95 (±0.05) µs,,,1 MW,1 kW,50 NM (≙ 93 km),,,1.5°,,15 rpm,,
karte042.en.html,AWS-6,G-Band,,,5 µs,,,49 kW,1 kW,180 km,,50 m; 0.5°,1.5°,,10 … 60 rpm,,
karte043.en.html,Dalyan,X-Band,,,,,,,"1 W, 0.1 W, 10 mW, 1 mW
	(selectable)",36 NM (≙ 66 km),,,,,>20 rpm,10 000 h,
karte044.en.html,AN/SPS-41,"9 375 MHz
	(X-Band)",,"1600 Hz, 625 Hz","0.1 µs, 0.4 µs",,,7 … 10 kW,,32 NM (≙ 60 km),,,1.8°,,21 rpm,,
karte045.en.html,AN/SPS-46,"9 345 … 9 405
	(X-Band)",,"1 500 Hz, 750 Hz","0.2 µs, 0.4 µs",,,7 kW,,33 mi (≙ 51 km),,,2.2°,,18 rpm,,
karte046.en.html,AN/SPG-55,"5 400 … 5 900 MHz
	(C-Band)",,427 Hz,0.1; 12; 13 µs,,,1 MW,,148 NM (≙ 275 km),,,1.6°,,,,
karte047.en.html,AN/SPG-62,X-Band,,,,,,,10 kW,,,,,,,9 000 hrs,
karte048.en.html,AN/SPG-49,"5 400 … 5 900 MHz
	(C-Band)",,,,,,3 MW,,150 NM (≙ 275 km),150 ft,0.025%; 0.25 mil,1.8°,,,30 hrs,
karte049.en.html,AN/SPG-60,X-Band,,1800 and 3600 Hz,0.22; 0.45 µs,,,5.5 kW,,60 NM (≙ 111 km),,,1.2°,,60 rpm,,
karte050.en.html,ELM-2258,S-Band,,,,,,,,65 NM (≙ 120 km),,,,,,,
karte051.en.html,ELM-2221,"X, Ka-Band",,,,,,,,30 km,,,,,12 or 20 rpm,,
karte052.en.html,ELM-2226,X-Band,,,,,,,5 W (50 W),100 km,,1 m,< 1.5°,,,>5000 h,
karte053.en.html,Herakles,S-Band,,,,,,50 kW (100 kW),,250 km (300 km),,,,,60 rpm,,
karte054.en.html,Type 346,"3.0 … 3.4 GHz
	5.25 … 5.95 GHz",,,,,,,,150 NM (≙ 280 km),,,,,,,
karte055.en.html,Quantum™,"9 354 … 9 446 MHz
	(X-Band)",,2 083 … 4 167 Hz,400 ns … 20 μs,,,20 W,,24 NM (≙ 45 km),,,β= 4.9°;  ε= 20°,,24 rpm,,
karte056.en.html,TRSS,X-Band,,,,,,,,> 40 km,,,,,,> 2000 hrs,
karte057.en.html,5P27 “Furke” ,,E-Band,,,,,,,,60 km,150 – 200 m,50 m,3.2°,,30 rpm,850 hrs.,
karte058.en.html,Swiss Radar PN II,"9 410 MHz ±30 MHz
	(X-Band)",,"1, 2 or 3 kHz","0.05, 0.15, or 0.6 µs",,,4 kW,"0.6, 1.2 or 2.4 W",64 km,,,"0.8°, 1.05° or 1.2°",,28 min⁻¹,,
karte059.en.html,RAN 20S,S-Band,,,,,,,,150 NM (≙ 278 km),,,,,,,
karte060.en.html,Coastwatcher 10,X-Band,,,,,,50 kW,,40 NM (≙ 74 km),12 m,,0.75°,,18 … 22 min⁻¹,> 5 000 hrs,
karte061.en.html,Magnum,X-Band,,,,,,4 kW,,72 NM(≙ 130 km),,,1.85° or 1.15°,,24 or 48 min⁻¹,,
karte062.en.html,Scanter 6000,"9 250 … 9 500 MHz
	(X-Band)",,max. 20 kHz,,,,200 kW,40 W,96 NM (≙ 178 km),12 m,,,,6 … 48 min⁻¹,,
karte063.en.html,Humminbird HB2124,"9 354 … 9 446 MHz
	(X-Band)",,,400 ns … 20 µs,,,20 W,,24 NM (≙ 44 km),6 m,,4.9°,,,,
karte064.en.html,Simrad TX06S-1,X-Band,,,,,,6 kW,,64 NM (≙ 120 km),,,1.8°,,27 min⁻¹,,
karte065.en.html,Simrad HALO,,X-Band,,500 … 2 000 Hz,2 … 96 µs,,,25 W ±10%,,48 NM(≙ 90 km),,,2.4°,,24 … 48 min⁻¹,,
karte066.en.html,AN/SPX-6(V) AMDR,"S-Band and
		X-Band",depending on softwareand configuration,,
